video_name,detected_path,date,time,hour,minute,day,day_of_week,month,is_holiday,is_weekend,hour_sin,hour_cos,vehicle_count,vehicle_count_1min,volume_veh_per_hour,avg_speed_kmh,queue_length_veh,wait_time_min,green_seconds,density_percent,weather_temp_c,weather_condition,accident_count,roadwork_flag,event_flag,_cumulative_count,_duration_s,_avg_occ,_slow_ratio,_stationary_vehicle_count,_occupancy_density,_count_density,_queue_density,_speed_samples,_weather_source,_metadata_found,source_video,period_label,weather_condition_Clear,weather_condition_Cloudy,weather_condition_Hot,weather_condition_Rain,delta_volume,lag_1,lag_5,lag_15,lag_30,lag_60,lag_speed_15,lag_queue_15,roll_mean_15,roll_std_15,roll_min_15,roll_max_15,roll_median_15,roll_mean_60,roll_std_60,roll_min_60,roll_max_60
pagi_cctv_001_20260518_070935,/content/outputs/detected_videos/detected_pagi_cctv_001_20260518_070935.mp4,5/18/2026,6:09:33,6,26,13,5,6,0,1,1.0,0.0,6,19,1140,49.02,0,0.0,45.0,5.49,25.6,Cloudy,0,0,0,6,19.2,0.517,0.048,0,0.0162,0.1,0.0,21,csv_weather_code,True,pagi_cctv_001_20260518_070935.mp4,pagi,0,1,0,0,0.0,19.0,19.0,19.0,,,49.02,0.0,19.0,0.0,19.0,19.0,19.0,19.0,0.0,19.0,19.0
pagi_cctv_002_20260518_070954,/content/outputs/detected_videos/detected_pagi_cctv_002_20260518_070954.mp4,5/18/2026,6:15:26,6,26,13,5,6,0,1,1.0,0.0,33,35,2100,45.07,0,0.0,45.0,28.53,26.8,Cloudy,0,0,0,33,56.5,1.297,0.02,0,0.0342,0.55,0.0,247,csv_weather_code,True,pagi_cctv_002_20260518_070954.mp4,pagi,0,1,0,0,16.0,19.0,19.0,19.0,,,49.02,0.0,27.0,11.313708498984761,19.0,35.0,27.0,27.0,11.313708498984761,19.0,35.0
pagi_cctv_004_20260518_071356,/content/outputs/detected_videos/detected_pagi_cctv_004_20260518_071356.mp4,5/18/2026,6:18:01,6,26,13,5,6,0,1,1.0,0.0,19,22,1320,42.65,0,0.0,45.0,16.34,25.6,Cloudy,0,0,0,19,52.1,0.441,0.068,0,0.017,0.3167,0.0,88,csv_weather_code,True,pagi_cctv_004_20260518_071356.mp4,pagi,0,1,0,0,-13.0,35.0,19.0,19.0,,,49.02,0.0,25.333333333333332,8.504900548115382,19.0,35.0,22.0,25.333333333333332,8.504900548115382,19.0,35.0
pagi_cctv_006_20260518_071450,/content/outputs/detected_videos/detected_pagi_cctv_006_20260518_071450.mp4,5/18/2026,6:20:24,6,26,13,5,6,0,1,1.0,0.0,37,36,2160,20.22,11,4.4,45.0,37.5,25.2,Cloudy,0,0,0,37,62.0,1.203,0.592,0,0.024,0.6167,0.2973,196,csv_weather_code,True,pagi_cctv_006_20260518_071450.mp4,pagi,0,1,0,0,14.0,22.0,19.0,19.0,,,49.02,0.0,28.0,8.755950357709132,19.0,36.0,28.5,28.0,8.755950357709132,19.0,36.0
pagi_cctv_009_20260518_071625,/content/outputs/detected_videos/detected_pagi_cctv_009_20260518_071625.mp4,5/18/2026,6:20:49,6,26,13,5,6,0,1,1.0,0.0,15,64,3840,44.89,0,0.0,45.0,13.96,25.6,Cloudy,0,0,0,15,14.0,1.095,0.02,0,0.0485,0.25,0.0,50,csv_weather_code,True,pagi_cctv_009_20260518_071625.mp4,pagi,0,1,0,0,28.0,36.0,19.0,19.0,,,49.02,0.0,35.2,17.79606698121807,19.0,64.0,35.0,35.2,17.79606698121807,19.0,64.0
pagi_cctv_014_20260518_072255,/content/outputs/detected_videos/detected_pagi_cctv_014_20260518_072255.mp4,5/18/2026,6:23:39,6,26,13,5,6,0,1,1.0,0.0,8,29,1740,28.33,0,0.0,45.0,7.25,25.2,Cloudy,0,0,0,8,16.5,0.89,0.339,0,0.0196,0.1333,0.0,59,csv_weather_code,True,pagi_cctv_014_20260518_072255.mp4,pagi,0,1,0,0,-35.0,64.0,19.0,19.0,,,49.02,0.0,34.166666666666664,16.117278513032733,19.0,64.0,32.0,34.166666666666664,16.117278513032733,19.0,64.0
pagi_cctv_015_20260518_072703,/content/outputs/detected_videos/detected_pagi_cctv_015_20260518_072703.mp4,5/18/2026,6:39:21,6,26,13,5,6,0,1,1.0,0.0,15,7,420,14.89,0,0.0,45.0,12.66,25.2,Cloudy,0,0,0,15,136.4,0.277,0.667,0,0.0053,0.25,0.0,60,csv_weather_code,True,pagi_cctv_015_20260518_072703.mp4,pagi,0,1,0,0,-22.0,29.0,35.0,19.0,,,49.02,0.0,30.285714285714285,17.94170454290121,7.0,64.0,29.0,30.285714285714285,17.94170454290121,7.0,64.0
siang_cctv_001_20260518_163906,/content/outputs/detected_videos/detected_siang_cctv_001_20260518_163906.mp4,5/18/2026,15:49:02,15,26,13,5,6,0,1,-0.707107,-0.707107,77,26,1560,54.5,0,0.0,45.0,50.83,29.9,Rain,0,0,0,77,180.1,1.577,0.022,0,0.0275,1.0,0.0,223,csv_weather_code,True,siang_cctv_001_20260518_163906.mp4,siang,0,0,0,1,19.0,7.0,22.0,19.0,,,49.02,0.0,29.75,16.67975676424227,7.0,64.0,27.5,29.75,16.67975676424227,7.0,64.0
siang_cctv_003_20260518_165921,/content/outputs/detected_videos/detected_siang_cctv_003_20260518_165921.mp4,5/18/2026,16:17:21,16,26,13,5,6,0,1,-0.866025,-0.5,11,4,240,20.41,0,0.0,45.0,9.22,29.7,Clear,0,0,0,11,168.0,0.077,0.333,0,0.0016,0.1833,0.0,12,csv_weather_code,True,siang_cctv_003_20260518_165921.mp4,siang,1,0,0,0,-22.0,26.0,36.0,19.0,,,49.02,0.0,26.88888888888889,17.807613852257443,4.0,64.0,26.0,26.88888888888889,17.807613852257443,4.0,64.0
siang_cctv_004_20260518_170659,/content/outputs/detected_videos/detected_siang_cctv_004_20260518_170659.mp4,5/18/2026,16:13:00,16,26,13,5,6,0,1,-0.866025,-0.5,101,98,5880,38.01,0,0.0,45.0,51.87,29.9,Clear,0,0,0,101,62.0,3.67,0.043,0,0.0624,1.0,0.0,254,csv_weather_code,True,siang_cctv_004_20260518_170659.mp4,siang,1,0,0,0,94.0,4.0,64.0,19.0,,,49.02,0.0,34.0,28.06342023979892,4.0,98.0,27.5,34.0,28.06342023979892,4.0,98.0
siang_cctv_005_20260518_171425,/content/outputs/detected_videos/detected_siang_cctv_005_20260518_171425.mp4,5/18/2026,16:24:23,16,26,13,5,6,0,1,-0.866025,-0.5,69,26,1560,28.06,0,0.0,45.0,50.67,29.9,Clear,0,0,0,69,156.2,2.2,0.429,0,0.0222,1.0,0.0,245,csv_weather_code,True,siang_cctv_005_20260518_171425.mp4,siang,1,0,0,0,-72.0,98.0,29.0,19.0,,,49.02,0.0,33.27272727272727,26.73234336563448,4.0,98.0,26.0,33.27272727272727,26.73234336563448,4.0,98.0
siang_cctv_007_20260518_160452,/content/outputs/detected_videos/detected_siang_cctv_007_20260518_160452.mp4,5/18/2026,15:08:58,15,26,13,5,6,0,1,-0.707107,-0.707107,62,21,1260,71.86,0,0.0,45.0,50.3,30.5,Cloudy,0,0,0,62,180.0,0.767,0.008,0,0.0101,1.0,0.0,130,csv_weather_code,True,siang_cctv_007_20260518_160452.mp4,siang,0,1,0,0,-5.0,26.0,7.0,19.0,,,49.02,0.0,32.25,25.733335295964757,4.0,98.0,26.0,32.25,25.733335295964757,4.0,98.0
siang_cctv_008_20260518_151934,/content/outputs/detected_videos/detected_siang_cctv_008_20260518_151934.mp4,5/18/2026,14:23:40,14,26,13,5,6,0,1,-0.5,-0.866025,13,105,6300,78.87,0,0.0,45.0,11.23,31.3,Rain,0,0,0,13,7.4,1.105,0.0,0,0.0132,0.2167,0.0,19,csv_weather_code,True,siang_cctv_008_20260518_151934.mp4,siang,0,0,0,1,84.0,21.0,26.0,19.0,,,49.02,0.0,37.84615384615385,31.84558094368865,4.0,105.0,26.0,37.84615384615385,31.84558094368865,4.0,105.0
malam_cctv_001_20260518_003725,/content/outputs/detected_videos/detected_malam_cctv_001_20260518_003725.mp4,5/18/2026,23:43:00 PM,23,26,13,5,6,0,1,-0.258819,0.965926,10,7,420,2.93,1,0.4,45.0,10.38,26.5,Cloudy,0,0,0,10,92.1,1.13,0.979,1,0.0014,0.1667,0.1,96,csv_weather_code,True,malam_cctv_001_20260518_003725.mp4,malam,0,1,0,0,-98.0,105.0,4.0,19.0,,,49.02,0.0,35.642857142857146,31.687432944203707,4.0,105.0,26.0,35.642857142857146,31.687432944203707,4.0,105.0
malam_cctv_003_20260518_004022,/content/outputs/detected_videos/detected_malam_cctv_003_20260518_004022.mp4,5/18/2026,23:44:47 PM,23,26,13,5,6,0,1,-0.258819,0.965926,2,4,240,79.9,0,0.0,45.0,1.67,25.9,Cloudy,0,0,0,2,28.0,0.013,0.001,0,0.0001,0.0333,0.0,0,csv_weather_code,True,malam_cctv_003_20260518_004022.mp4,malam,0,1,0,0,-3.0,7.0,98.0,19.0,,,49.02,0.0,33.53333333333333,31.608919777869815,4.0,105.0,26.0,33.53333333333333,31.608919777869815,4.0,105.0
malam_cctv_005_20260518_004357,/content/outputs/detected_videos/detected_malam_cctv_005_20260518_004357.mp4,5/18/2026,23:44:00 PM,23,26,13,5,6,0,1,-0.258819,0.965926,19,32,1920,11.55,10,4.0,45.0,27.19,25.9,Cloudy,0,0,0,19,35.1,1.322,0.728,1,0.0275,0.3167,0.5263,162,csv_weather_code,True,malam_cctv_005_20260518_004357.mp4,malam,0,1,0,0,28.0,4.0,26.0,19.0,,,49.02,0.0,34.4,31.359209173702066,4.0,105.0,26.0,33.4375,30.539523571922338,4.0,105.0
malam_cctv_007_20260518_033146,/content/outputs/detected_videos/detected_malam_cctv_007_20260518_033146.mp4,5/18/2026,2:32:30,2,26,13,5,6,0,1,0.5,0.866025,6,7,420,32.93,0,0.0,45.0,5.01,24.5,Cloudy,0,0,0,6,49.6,0.03,0.333,0,0.0005,0.1,0.0,3,csv_weather_code,True,malam_cctv_007_20260518_033146.mp4,malam,0,1,0,0,-25.0,32.0,21.0,35.0,,,45.07,0.0,32.53333333333333,32.144465568222884,4.0,105.0,26.0,31.88235294117647,30.256987525489826,4.0,105.0
malam_cctv_008_20260518_004504,/content/outputs/detected_videos/detected_malam_cctv_008_20260518_004504.mp4,5/18/2026,23:49:10 PM,23,26,13,5,6,0,1,-0.258819,0.965926,0,0,0,80.0,0,0.0,45.0,0.0,25.9,Cloudy,0,0,0,0,12.4,0.0,0.0,0,0.0,0.0,0.0,0,csv_weather_code,True,malam_cctv_008_20260518_004504.mp4,malam,0,1,0,0,-7.0,7.0,105.0,22.0,,,42.65,0.0,31.066666666666666,33.145710057835466,0.0,105.0,26.0,30.11111111111111,30.300240513292938,0.0,105.0
malam_cctv_009_20260518_004524,/content/outputs/detected_videos/detected_malam_cctv_009_20260518_004524.mp4,5/18/2026,23:58:54 PM,23,26,13,5,6,0,1,-0.258819,0.965926,1,3,180,0.5,0,0.0,45.0,0.89,25.5,Cloudy,0,0,0,1,20.9,0.214,1.0,0,0.0019,0.0167,0.0,5,csv_weather_code,True,malam_cctv_009_20260518_004524.mp4,malam,0,1,0,0,3.0,0.0,7.0,36.0,,,20.22,11.0,28.866666666666667,33.881867604678355,0.0,105.0,21.0,28.68421052631579,30.096239395163547,0.0,105.0
malam_cctv_014_20260518_033116,/content/outputs/detected_videos/detected_malam_cctv_014_20260518_033116.mp4,5/18/2026,2:35:23,2,26,13,5,6,0,1,0.5,0.866025,0,0,0,80.0,0,0.0,45.0,0.0,24.9,Cloudy,0,0,0,0,22.3,0.0,0.0,0,0.0,0.0,0.0,0,csv_weather_code,True,malam_cctv_014_20260518_033116.mp4,malam,0,1,0,0,-3.0,3.0,4.0,64.0,,,44.89,0.0,24.6,33.163663419902385,0.0,105.0,7.0,27.25,29.987497394747702,0.0,105.0
malam_cctv_016_20260518_033544,/content/outputs/detected_videos/detected_malam_cctv_016_20260518_033544.mp4,5/18/2026,2:36:00,2,26,13,5,6,0,1,0.5,0.866025,12,4,240,4.48,1,0.4,45.0,12.21,24.9,Cloudy,0,0,0,12,180.0,1.147,0.952,1,0.0181,0.2,0.0833,188,csv_weather_code,True,malam_cctv_016_20260518_033544.mp4,malam,0,1,0,0,4.0,0.0,32.0,29.0,,,28.33,0.0,22.933333333333334,33.552659393570465,0.0,105.0,7.0,26.142857142857142,29.66527551580419,0.0,105.0
